Image ID,True Class,Predicted Class,Confidence,Leaf Pixels,Activated Pixels,Activation Threshold,Attention-Affected Region %,Mean Leaf Activation,Mean Activated Activation,Weighted Activation,Health Score,Severity
0a205a11-1e64-49f7-93c2-ad59312b4f83___RS_HL 0334_final_masked.jpg,tomato_healthy,tomato_healthy,0.99654620885849,50176,20715,0.6,41.28,0.4591,0.7319,0.4591,98,Healthy
0a31e630-0d98-416b-b0e4-88a88aad1dc5___RS_HL 9653.JPG,tomato_healthy,tomato_healthy,0.9999943971633911,3783,3582,0.6,94.69,0.8308,0.8448,0.8308,96,Healthy
0a31e630-0d98-416b-b0e4-88a88aad1dc5___RS_HL 9653_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999842643737793,50176,15585,0.6,31.06,0.4458,0.7915,0.4458,98,Healthy
0a334ae6-bea3-4453-b200-85e082794d56___GH_HL Leaf 310.1.JPG,tomato_healthy,tomato_healthy,0.9999988079071045,20402,5154,0.6,25.26,0.3974,0.7393,0.3974,98,Healthy
0a334ae6-bea3-4453-b200-85e082794d56___GH_HL Leaf 310.1_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999984502792358,50176,12454,0.6,24.82,0.3995,0.7464,0.3995,98,Healthy
0a86ddc0-4950-4efc-9260-0f16d4db046b___RS_HL 0469.JPG,tomato_healthy,tomato_healthy,0.9999998807907104,3727,2975,0.6,79.82,0.715,0.7549,0.715,96,Healthy
0a86ddc0-4950-4efc-9260-0f16d4db046b___RS_HL 0469_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999860525131226,50176,11016,0.6,21.95,0.3674,0.7627,0.3674,98,Healthy
0a9986e6-b629-4ff5-8aab-7488ea9b935b___RS_HL 9704.JPG,tomato_healthy,tomato_healthy,1.0,23945,9347,0.6,39.04,0.5737,0.7874,0.5737,97,Healthy
0a9986e6-b629-4ff5-8aab-7488ea9b935b___RS_HL 9704_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,16143,0.6,32.17,0.4375,0.8125,0.4375,98,Healthy
0aacdad5-c9b9-4309-96e3-0797bbed1375___RS_HL 9836.JPG,tomato_healthy,tomato_healthy,0.9999964237213135,2632,2165,0.6,82.26,0.7424,0.7851,0.7424,96,Healthy
0aacdad5-c9b9-4309-96e3-0797bbed1375___RS_HL 9836_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999867677688599,50176,12946,0.6,25.8,0.3837,0.7792,0.3837,98,Healthy
0b330273-890c-4995-af72-cba070fc0061___GH_HL Leaf 312.JPG,tomato_healthy,tomato_healthy,1.0,17887,3622,0.6,20.25,0.4683,0.7665,0.4683,98,Healthy
0b330273-890c-4995-af72-cba070fc0061___GH_HL Leaf 312_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,13368,0.6,26.64,0.3773,0.7829,0.3773,98,Healthy
0b5cfce2-38fd-4984-8926-2d2911c48490___RS_HL 9733.JPG,tomato_healthy,tomato_healthy,0.9999982118606567,3646,3090,0.6,84.75,0.6908,0.714,0.6908,97,Healthy
0b5cfce2-38fd-4984-8926-2d2911c48490___RS_HL 9733_final_masked.jpg,tomato_healthy,tomato_healthy,0.9976738095283508,50176,16666,0.6,33.22,0.4458,0.7844,0.4458,98,Healthy
0bfe260c-a71e-474e-bfb1-78f1e5ca5698___RS_HL 0497.JPG,tomato_healthy,tomato_healthy,1.0,6179,6179,0.6,100.0,0.837,0.837,0.837,96,Healthy
0bfe260c-a71e-474e-bfb1-78f1e5ca5698___RS_HL 0497_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999995231628418,50176,16541,0.6,32.97,0.4756,0.77,0.4756,98,Healthy
0c3eaf2d-8203-441d-9248-1c64e00b5b8b___RS_HL 0018.JPG,tomato_healthy,tomato_healthy,0.9985371828079224,3704,0,0.6,0.0,0.0294,0.0,0.0294,100,Healthy
0c3eaf2d-8203-441d-9248-1c64e00b5b8b___RS_HL 0018_final_masked.jpg,tomato_healthy,tomato_healthy,0.9996976852416992,50176,17386,0.6,34.65,0.4614,0.7647,0.4614,98,Healthy
0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1.JPG,tomato_healthy,tomato_healthy,1.0,30764,15978,0.6,51.94,0.5586,0.7187,0.5586,97,Healthy
0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1_final_masked.jpg,tomato_healthy,tomato_healthy,0.999993085861206,50176,10399,0.6,20.73,0.3636,0.7426,0.3636,98,Healthy
0c8c9c80-b7e0-47a7-81d3-b5a2174e545d___GH_HL Leaf 496.1.JPG,tomato_healthy,tomato_healthy,0.9688010215759277,14594,2633,0.6,18.04,0.3646,0.765,0.3646,98,Healthy
0c8c9c80-b7e0-47a7-81d3-b5a2174e545d___GH_HL Leaf 496.1_final_masked.jpg,tomato_healthy,tomato_healthy,0.8670437335968018,50176,6154,0.6,12.26,0.301,0.684,0.301,98,Healthy
0cabff41-b00b-4692-98af-6b8b0aeba7aa___RS_HL 9774.JPG,tomato_healthy,tomato_healthy,1.0,3939,1204,0.6,30.57,0.5607,0.6291,0.5607,97,Healthy
0cabff41-b00b-4692-98af-6b8b0aeba7aa___RS_HL 9774_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,12834,0.6,25.58,0.3704,0.7833,0.3704,98,Healthy
0caff918-5807-40f2-b9e4-7dd34a7bab5d___RS_HL 0345.JPG,tomato_healthy,tomato_healthy,1.0,2813,831,0.6,29.54,0.5546,0.6378,0.5546,97,Healthy
0caff918-5807-40f2-b9e4-7dd34a7bab5d___RS_HL 0345_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999972581863403,50176,14924,0.6,29.74,0.4335,0.718,0.4335,98,Healthy
0cb10f98-491d-4e1f-b8ea-4fb0f1b3675f___GH_HL Leaf 333.JPG,tomato_healthy,tomato_healthy,1.0,39727,28219,0.6,71.03,0.6579,0.7673,0.6579,97,Healthy
0cb10f98-491d-4e1f-b8ea-4fb0f1b3675f___GH_HL Leaf 333_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,19731,0.6,39.32,0.5376,0.7213,0.5376,97,Healthy
0cfee8b1-5de4-4118-9e25-f9c37bb6f17e___GH_HL Leaf 252.JPG,tomato_healthy,tomato_healthy,0.9999986886978149,33783,7788,0.6,23.05,0.4776,0.6773,0.4776,98,Healthy
0cfee8b1-5de4-4118-9e25-f9c37bb6f17e___GH_HL Leaf 252_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999983310699463,50176,12522,0.6,24.96,0.3764,0.7702,0.3764,98,Healthy
0d259481-e08d-459d-aa92-fe05e1524742___GH_HL Leaf 253.1.JPG,tomato_healthy,tomato_healthy,0.9997521042823792,39509,25883,0.6,65.51,0.6149,0.7534,0.6149,97,Healthy
0d259481-e08d-459d-aa92-fe05e1524742___GH_HL Leaf 253.1_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999979734420776,50176,13721,0.6,27.35,0.4172,0.7975,0.4172,98,Healthy
0d2bcda8-8dae-408e-8919-21dfa6cc9eea___RS_HL 0335.JPG,tomato_healthy,tomato_healthy,0.999996542930603,3284,1318,0.6,40.13,0.6022,0.6662,0.6022,97,Healthy
0d2bcda8-8dae-408e-8919-21dfa6cc9eea___RS_HL 0335_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999992847442627,50176,19282,0.6,38.43,0.4756,0.8014,0.4756,98,Healthy
0d3691ab-5413-4313-870e-9e5d2faf33ea___RS_HL 9958.JPG,tomato_healthy,tomato_healthy,0.9930782914161682,4316,340,0.6,7.88,0.3581,0.6608,0.3581,98,Healthy
0d3691ab-5413-4313-870e-9e5d2faf33ea___RS_HL 9958_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999998807907104,50176,14765,0.6,29.43,0.4279,0.7658,0.4279,98,Healthy
0d515778-61ef-4f0b-ab54-75607c80220f___RS_HL 9745.JPG,tomato_healthy,tomato_healthy,1.0,7000,4155,0.6,59.36,0.6774,0.8177,0.6774,97,Healthy
0d515778-61ef-4f0b-ab54-75607c80220f___RS_HL 9745_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999998807907104,50176,16167,0.6,32.22,0.4348,0.7905,0.4348,98,Healthy
0d615a38-cfa4-45e4-b1b4-9977220e19ca___RS_HL 9815.JPG,tomato_healthy,tomato_healthy,0.9999970197677612,3197,991,0.6,31.0,0.5833,0.7754,0.5833,97,Healthy
0d615a38-cfa4-45e4-b1b4-9977220e19ca___RS_HL 9815_final_masked.jpg,tomato_healthy,tomato_healthy,0.9878941178321838,50176,19934,0.6,39.73,0.4494,0.7322,0.4494,98,Healthy
0d70d565-520e-474c-85c1-ab478c9f1d4b___GH_HL Leaf 203.1.JPG,tomato_healthy,tomato_healthy,0.9999971389770508,37844,12887,0.6,34.05,0.5172,0.7621,0.5172,97,Healthy
0d70d565-520e-474c-85c1-ab478c9f1d4b___GH_HL Leaf 203.1_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999997615814209,50176,10843,0.6,21.61,0.3801,0.7423,0.3801,98,Healthy
0d789240-9714-4378-8b63-4afb12ddfa44___RS_HL 9735.JPG,tomato_healthy,tomato_healthy,0.9999717473983765,2520,1878,0.6,74.52,0.6532,0.6805,0.6532,97,Healthy
0d789240-9714-4378-8b63-4afb12ddfa44___RS_HL 9735_final_masked.jpg,tomato_healthy,tomato_healthy,0.999963641166687,50176,10272,0.6,20.47,0.3693,0.7253,0.3693,98,Healthy
0d91db63-181b-4c3a-939b-181cc812e466___RS_HL 0308.JPG,tomato_healthy,tomato_healthy,0.9999947547912598,7315,5715,0.6,78.13,0.7246,0.7794,0.7246,96,Healthy
0d91db63-181b-4c3a-939b-181cc812e466___RS_HL 0308_final_masked.jpg,tomato_healthy,tomato_healthy,0.9747800230979919,50176,10988,0.6,21.9,0.4274,0.7498,0.4274,98,Healthy
0d932b2a-584e-4971-8590-70c5f0a049cf___RS_HL 9739.JPG,tomato_healthy,tomato_healthy,0.9999934434890747,2013,1856,0.6,92.2,0.8065,0.8289,0.8065,96,Healthy
0d932b2a-584e-4971-8590-70c5f0a049cf___RS_HL 9739_final_masked.jpg,tomato_healthy,tomato_healthy,0.9734191298484802,50176,5424,0.6,10.81,0.3248,0.7323,0.3248,98,Healthy
0de16216-510d-48c1-9ef0-78ce39328ff2___GH_HL Leaf 240.JPG,tomato_healthy,tomato_healthy,1.0,33239,8276,0.6,24.9,0.4125,0.71,0.4125,98,Healthy
0de16216-510d-48c1-9ef0-78ce39328ff2___GH_HL Leaf 240_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999674558639526,50176,12545,0.6,25.0,0.3948,0.7855,0.3948,98,Healthy
0de569a8-21c5-4d22-b9c9-ba0ef0f2b614___RS_HL 0314.JPG,tomato_healthy,tomato_healthy,0.9993578791618347,5304,527,0.6,9.94,0.3571,0.7479,0.3571,98,Healthy
0de569a8-21c5-4d22-b9c9-ba0ef0f2b614___RS_HL 0314_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999653100967407,50176,7065,0.6,14.08,0.3339,0.7339,0.3339,98,Healthy
0e1d7722-3df9-4a3a-a4e2-bc0ea3ce0da4___RS_HL 9979.JPG,tomato_healthy,tomato_healthy,0.999995231628418,5002,1106,0.6,22.11,0.5152,0.7522,0.5152,97,Healthy
0e1d7722-3df9-4a3a-a4e2-bc0ea3ce0da4___RS_HL 9979_final_masked.jpg,tomato_healthy,tomato_healthy,0.96869957447052,50176,11244,0.6,22.41,0.3723,0.7722,0.3723,98,Healthy
0e3feb72-86e5-41c2-a7ca-3295800e5777___RS_HL 0158.JPG,tomato_healthy,tomato_healthy,0.9999922513961792,7037,3789,0.6,53.84,0.6116,0.6626,0.6116,97,Healthy
0e3feb72-86e5-41c2-a7ca-3295800e5777___RS_HL 0158_final_masked.jpg,tomato_healthy,tomato_healthy,0.999996542930603,50176,18629,0.6,37.13,0.4875,0.7745,0.4875,98,Healthy
0eb4ba9a-6626-4e46-b561-c226b495073d___RS_HL 9862.JPG,tomato_healthy,tomato_healthy,0.999998927116394,15103,5601,0.6,37.09,0.5914,0.7236,0.5914,97,Healthy
0eb4ba9a-6626-4e46-b561-c226b495073d___RS_HL 9862_final_masked.jpg,tomato_healthy,tomato_healthy,0.9959328770637512,50176,17693,0.6,35.26,0.4764,0.7535,0.4764,98,Healthy
0ed55b5a-55e6-4c9c-bce4-9eba61bc3a6b___RS_HL 9889.JPG,tomato_healthy,tomato_healthy,0.985022246837616,7432,4073,0.6,54.8,0.6243,0.7872,0.6243,97,Healthy
0ed55b5a-55e6-4c9c-bce4-9eba61bc3a6b___RS_HL 9889_final_masked.jpg,tomato_healthy,tomato_healthy,0.9985817670822144,50176,23944,0.6,47.72,0.5621,0.7204,0.5621,97,Healthy
0f0fc0ee-b19b-4f90-ab41-8f693131f57d___RS_HL 9890.JPG,tomato_healthy,tomato_healthy,1.0,8676,7677,0.6,88.49,0.7403,0.7713,0.7403,96,Healthy
0f0fc0ee-b19b-4f90-ab41-8f693131f57d___RS_HL 9890_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999996423721313,50176,21415,0.6,42.68,0.5298,0.7948,0.5298,97,Healthy
0f20443a-193e-46b1-aea9-7ea614eb98ec___RS_HL 9850.JPG,tomato_healthy,tomato_healthy,1.0,3859,3349,0.6,86.78,0.7492,0.7818,0.7492,96,Healthy
0f20443a-193e-46b1-aea9-7ea614eb98ec___RS_HL 9850_final_masked.jpg,tomato_healthy,tomato_healthy,0.9997574687004089,50176,13315,0.6,26.54,0.4093,0.7421,0.4093,98,Healthy
0f5a5880-c1f1-4356-8336-d65c69b54cc1___GH_HL Leaf 380.1JPG.JPG,tomato_healthy,tomato_healthy,0.9999986886978149,25614,3768,0.6,14.71,0.4655,0.6962,0.4655,98,Healthy
0f5a5880-c1f1-4356-8336-d65c69b54cc1___GH_HL Leaf 380.1JPG_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999996423721313,50176,15385,0.6,30.66,0.4311,0.7442,0.4311,98,Healthy
0f809e80-ee2b-4ad4-9a80-50d789298d48___GH_HL Leaf 192.JPG,tomato_healthy,tomato_healthy,0.7727149128913879,39427,5317,0.6,13.49,0.2691,0.774,0.2691,99,Healthy
0f809e80-ee2b-4ad4-9a80-50d789298d48___GH_HL Leaf 192_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999895095825195,50176,17008,0.6,33.9,0.5328,0.775,0.5328,97,Healthy
0f93b04b-73fc-4c5c-98d6-35842cafdd25___RS_HL 0278.JPG,tomato_healthy,tomato_healthy,0.9999972581863403,1858,3,0.6,0.16,0.5118,0.6032,0.5118,97,Healthy
0f93b04b-73fc-4c5c-98d6-35842cafdd25___RS_HL 0278_final_masked.jpg,tomato_healthy,tomato_healthy,0.9998476505279541,50176,13545,0.6,26.99,0.4244,0.744,0.4244,98,Healthy
0f9a114d-1df8-442c-90e7-d14d2f6efb23___RS_HL 9964.JPG,tomato_healthy,tomato_healthy,0.9999998807907104,2897,0,0.6,0.0,0.416,0.0,0.416,98,Healthy
0f9a114d-1df8-442c-90e7-d14d2f6efb23___RS_HL 9964_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999929666519165,50176,13006,0.6,25.92,0.4225,0.7247,0.4225,98,Healthy
0fd3432a-e22a-4a71-9a63-1c56ee4ce067___GH_HL Leaf 463.1.JPG,tomato_healthy,tomato_healthy,0.9944931268692017,33385,14069,0.6,42.14,0.536,0.7714,0.536,97,Healthy
0fd3432a-e22a-4a71-9a63-1c56ee4ce067___GH_HL Leaf 463.1_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,23332,0.6,46.5,0.5375,0.7238,0.5375,97,Healthy
0fee8af3-ca03-418c-a71c-c4fb0a80dc7b___RS_HL 0199.JPG,tomato_healthy,tomato_healthy,0.9999979734420776,9650,7055,0.6,73.11,0.6999,0.7774,0.6999,97,Healthy
0fee8af3-ca03-418c-a71c-c4fb0a80dc7b___RS_HL 0199_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999997615814209,50176,10398,0.6,20.72,0.3899,0.7527,0.3899,98,Healthy
1006c73b-19f8-4771-9fe5-3fc4908e8da3___RS_HL 0557.JPG,tomato_healthy,tomato_healthy,1.0,3424,1763,0.6,51.49,0.6344,0.7228,0.6344,97,Healthy
1006c73b-19f8-4771-9fe5-3fc4908e8da3___RS_HL 0557_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999681711196899,50176,15717,0.6,31.32,0.447,0.7344,0.447,98,Healthy
10126910-47a0-4b22-b3ee-ce9eb4d5d7b5___GH_HL Leaf 350.JPG,tomato_healthy,tomato_healthy,0.9999998807907104,19322,6008,0.6,31.09,0.486,0.7447,0.486,98,Healthy
10126910-47a0-4b22-b3ee-ce9eb4d5d7b5___GH_HL Leaf 350_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999990463256836,50176,11281,0.6,22.48,0.3768,0.8068,0.3768,98,Healthy
10716d69-324b-4423-9e1e-b09559babb89___GH_HL Leaf 267.1.JPG,tomato_healthy,tomato_healthy,1.0,27988,10208,0.6,36.47,0.4809,0.7218,0.4809,98,Healthy
10716d69-324b-4423-9e1e-b09559babb89___GH_HL Leaf 267.1_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,22681,0.6,45.2,0.497,0.7169,0.497,98,Healthy
109f3e0e-e7f4-41b9-b450-f68750e144ae___RS_HL 0014.JPG,tomato_healthy,tomato_healthy,0.992052435874939,6353,3890,0.6,61.23,0.5133,0.7512,0.5133,97,Healthy
109f3e0e-e7f4-41b9-b450-f68750e144ae___RS_HL 0014_final_masked.jpg,tomato_healthy,tomato_healthy,0.9925307631492615,50176,9579,0.6,19.09,0.3476,0.7434,0.3476,98,Healthy
10a4a3bd-e4c3-4e1c-94bd-cd0cd4e2705b___GH_HL Leaf 526.JPG,tomato_healthy,tomato_healthy,0.9999992847442627,35099,11872,0.6,33.82,0.4996,0.7876,0.4996,98,Healthy
10a4a3bd-e4c3-4e1c-94bd-cd0cd4e2705b___GH_HL Leaf 526_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999977350234985,50176,12962,0.6,25.83,0.4045,0.8071,0.4045,98,Healthy
10b36861-6a00-41d9-9858-e00adcfb17e7___RS_HL 0235.JPG,tomato_healthy,tomato_healthy,0.9999784231185913,3997,1725,0.6,43.16,0.5783,0.6497,0.5783,97,Healthy
10b36861-6a00-41d9-9858-e00adcfb17e7___RS_HL 0235_final_masked.jpg,tomato_healthy,tomato_healthy,0.999929666519165,50176,10117,0.6,20.16,0.4097,0.7558,0.4097,98,Healthy
115c8bc1-06b9-4679-9159-46e5640c39e7___GH_HL Leaf 206.2.JPG,tomato_healthy,tomato_healthy,0.9999977350234985,38823,13851,0.6,35.68,0.5261,0.7376,0.5261,97,Healthy
115c8bc1-06b9-4679-9159-46e5640c39e7___GH_HL Leaf 206.2_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,17297,0.6,34.47,0.5071,0.7643,0.5071,97,Healthy
11fe6fbc-a1a9-4cc4-ba85-a6864a4e9bae___GH_HL Leaf 280.JPG,tomato_healthy,tomato_healthy,1.0,31689,22264,0.6,70.26,0.6444,0.6993,0.6444,97,Healthy
11fe6fbc-a1a9-4cc4-ba85-a6864a4e9bae___GH_HL Leaf 280_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,14008,0.6,27.92,0.5071,0.7128,0.5071,97,Healthy
125ff07a-87f1-4953-9ded-8f9e5adb7b1b___RS_HL 0470.JPG,tomato_healthy,tomato_healthy,0.9988271594047546,5401,3910,0.6,72.39,0.6094,0.6405,0.6094,97,Healthy
125ff07a-87f1-4953-9ded-8f9e5adb7b1b___RS_HL 0470_final_masked.jpg,tomato_healthy,tomato_healthy,0.9998689889907837,50176,8231,0.6,16.4,0.2718,0.7679,0.2718,99,Healthy
12a3a4c8-0f82-419c-9a7f-0fc6d261299a___RS_HL 9988.JPG,tomato_healthy,tomato_healthy,0.9999974966049194,2950,0,0.6,0.0,0.3266,0.0,0.3266,98,Healthy
12a3a4c8-0f82-419c-9a7f-0fc6d261299a___RS_HL 9988_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999940395355225,50176,10375,0.6,20.68,0.341,0.7709,0.341,98,Healthy
12c28bfa-a576-4787-8d4e-a500ac446766___RS_HL 0526.JPG,tomato_healthy,tomato_healthy,0.9999233484268188,4112,10,0.6,0.24,0.4218,0.6046,0.4218,98,Healthy
12c28bfa-a576-4787-8d4e-a500ac446766___RS_HL 0526_final_masked.jpg,tomato_healthy,tomato_healthy,0.999992847442627,50176,14127,0.6,28.15,0.42,0.8264,0.42,98,Healthy
12f2989a-82c7-41d1-ae23-93a6e85bfd57___RS_HL 9798.JPG,tomato_healthy,tomato_healthy,1.0,12563,9545,0.6,75.98,0.7268,0.8084,0.7268,96,Healthy
12f2989a-82c7-41d1-ae23-93a6e85bfd57___RS_HL 9798_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999996423721313,50176,15522,0.6,30.94,0.4757,0.7576,0.4757,98,Healthy
13053341-b112-411c-bc76-8cadbcb4eded___GH_HL Leaf 223.JPG,tomato_healthy,tomato_healthy,0.9352773427963257,43325,8097,0.6,18.69,0.4072,0.6947,0.4072,98,Healthy
13053341-b112-411c-bc76-8cadbcb4eded___GH_HL Leaf 223_final_masked.jpg,tomato_healthy,tomato_healthy,0.9896014332771301,50176,9065,0.6,18.07,0.3039,0.7327,0.3039,98,Healthy
130c7763-2ace-42bc-b2f0-ef78be095e8c___RS_HL 0171.JPG,tomato_healthy,tomato_healthy,0.9999997615814209,9442,6103,0.6,64.64,0.6298,0.6715,0.6298,97,Healthy
130c7763-2ace-42bc-b2f0-ef78be095e8c___RS_HL 0171_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999887943267822,50176,17297,0.6,34.47,0.4683,0.7868,0.4683,98,Healthy
1317fd49-1819-4065-b3a4-d74f9763c7c4___RS_HL 0252.JPG,tomato_healthy,tomato_healthy,0.9999179840087891,13409,6716,0.6,50.09,0.6405,0.8359,0.6405,97,Healthy
1317fd49-1819-4065-b3a4-d74f9763c7c4___RS_HL 0252_final_masked.jpg,tomato_healthy,tomato_healthy,0.8129312992095947,50176,5337,0.6,10.64,0.1758,0.7592,0.1758,99,Healthy
1352e7ea-9a81-44fb-98e9-25ee6c701753___RS_HL 0549.JPG,tomato_healthy,tomato_healthy,1.0,4932,4106,0.6,83.25,0.745,0.793,0.745,96,Healthy
1352e7ea-9a81-44fb-98e9-25ee6c701753___RS_HL 0549_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,9465,0.6,18.86,0.3132,0.748,0.3132,98,Healthy
13688c77-f2ad-4f7c-972c-99d70652fac6___RS_HL 0458.JPG,tomato_healthy,tomato_healthy,0.9997592568397522,6178,1426,0.6,23.08,0.3975,0.6839,0.3975,98,Healthy
13688c77-f2ad-4f7c-972c-99d70652fac6___RS_HL 0458_final_masked.jpg,tomato_healthy,tomato_healthy,0.9903524518013,50176,6562,0.6,13.08,0.2206,0.7321,0.2206,99,Healthy
136a69f1-2cf0-4fc6-bf40-8ed63bd3db94___RS_HL 9624.JPG,tomato_healthy,tomato_healthy,0.999968409538269,17146,4983,0.6,29.06,0.3528,0.8003,0.3528,98,Healthy
136a69f1-2cf0-4fc6-bf40-8ed63bd3db94___RS_HL 9624_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999731779098511,50176,7540,0.6,15.03,0.2994,0.7616,0.2994,99,Healthy
139d2f99-d25b-440d-805e-d070a399d8f1___RS_HL 0600.JPG,tomato_healthy,tomato_healthy,0.9999901056289673,5607,508,0.6,9.06,0.4121,0.6739,0.4121,98,Healthy
139d2f99-d25b-440d-805e-d070a399d8f1___RS_HL 0600_final_masked.jpg,tomato_healthy,tomato_healthy,0.9998562335968018,50176,12714,0.6,25.34,0.4169,0.743,0.4169,98,Healthy
13a4fd9b-13eb-4fcd-af7d-b6c76fbbf456___GH_HL Leaf 272.JPG,tomato_healthy,tomato_healthy,1.0,16184,3628,0.6,22.42,0.4099,0.6861,0.4099,98,Healthy
13a4fd9b-13eb-4fcd-af7d-b6c76fbbf456___GH_HL Leaf 272_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999945163726807,50176,9964,0.6,19.86,0.3503,0.7599,0.3503,98,Healthy
13b114fe-22bf-498e-8534-4049123ef655___RS_HL 9775.JPG,tomato_healthy,tomato_healthy,0.9999997615814209,4581,3841,0.6,83.85,0.7745,0.8157,0.7745,96,Healthy
13b114fe-22bf-498e-8534-4049123ef655___RS_HL 9775_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999996423721313,50176,16184,0.6,32.25,0.4651,0.76,0.4651,98,Healthy
13e0d497-f5fc-4fb9-9e9a-cb77bc330730___RS_HL 0397.JPG,tomato_healthy,tomato_healthy,1.0,4014,3864,0.6,96.26,0.7771,0.7848,0.7771,96,Healthy
13e0d497-f5fc-4fb9-9e9a-cb77bc330730___RS_HL 0397_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999998807907104,50176,12562,0.6,25.04,0.3821,0.7551,0.3821,98,Healthy
1421f343-ba3a-424c-ac71-b5eb9ac26c10___GH_HL Leaf 201.JPG,tomato_healthy,tomato_healthy,0.9994838237762451,32719,18761,0.6,57.34,0.5427,0.7728,0.5427,97,Healthy
1421f343-ba3a-424c-ac71-b5eb9ac26c10___GH_HL Leaf 201_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999998807907104,50176,16491,0.6,32.87,0.4643,0.7448,0.4643,98,Healthy
14385f16-4e7f-401f-889a-8c1535ed85ba___GH_HL Leaf 503.5.JPG,tomato_healthy,tomato_healthy,0.9017495512962341,16705,7038,0.6,42.13,0.5209,0.7551,0.5209,97,Healthy
14385f16-4e7f-401f-889a-8c1535ed85ba___GH_HL Leaf 503.5_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999017715454102,50176,11413,0.6,22.75,0.3967,0.7383,0.3967,98,Healthy
1457ca6a-4907-4c97-83f8-a0fa22135a27___RS_HL 0441.JPG,tomato_healthy,tomato_healthy,0.9999934434890747,5053,3581,0.6,70.87,0.6875,0.7608,0.6875,97,Healthy
1457ca6a-4907-4c97-83f8-a0fa22135a27___RS_HL 0441_final_masked.jpg,tomato_healthy,tomato_healthy,0.9999847412109375,50176,19768,0.6,39.4,0.4864,0.7869,0.4864,98,Healthy
14768e0c-387d-40d2-96f9-031e0a45bed5___RS_HL 9667.JPG,tomato_healthy,tomato_healthy,0.9999998807907104,2990,1781,0.6,59.57,0.6671,0.7865,0.6671,97,Healthy
14768e0c-387d-40d2-96f9-031e0a45bed5___RS_HL 9667_final_masked.jpg,tomato_healthy,tomato_healthy,0.7929814457893372,50176,14913,0.6,29.72,0.3764,0.7452,0.3764,98,Healthy
1479f22a-c0d6-4dac-a752-578f575f276d___GH_HL Leaf 173.5.JPG,tomato_healthy,tomato_healthy,0.9885086417198181,16809,2034,0.6,12.1,0.3646,0.6649,0.3646,98,Healthy
1479f22a-c0d6-4dac-a752-578f575f276d___GH_HL Leaf 173.5_final_masked.jpg,tomato_healthy,tomato_healthy,0.663292646408081,50176,3442,0.6,6.86,0.2159,0.7352,0.2159,99,Healthy
1480b935-0081-4052-a7e8-09ef0040d9b5___GH_HL Leaf 338.JPG,tomato_healthy,tomato_healthy,0.9999998807907104,16756,6617,0.6,39.49,0.5667,0.7269,0.5667,97,Healthy
1480b935-0081-4052-a7e8-09ef0040d9b5___GH_HL Leaf 338_final_masked.jpg,tomato_healthy,tomato_healthy,1.0,50176,19639,0.6,39.14,0.5737,0.7232,0.5737,97,Healthy
